id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url
2TKHW,"New Balance Fresh Foam® Roav RMX Running Shoes - Slip-Ons, Wide Width (For Women)",New Balance,Women's Running Shoes,2TKHW-01-9-D,39.99,39.99,39.99,60,342,46,https://www.sierra.com/new-balance-fresh-foam-roav-rmx-running-shoes-slip-ons-wide-width-for-women~p~2tkhw/?filterString=newproducts~14%2Factivities~d~14342%2F
4PCCJ,Crazy Creek Hex 2.0 Line PowerLounger LongBack Chair,Crazy Creek,Camp Furniture,4PCCJ-01,59.99,59.99,59.99,29,60,60,https://www.sierra.com/crazy-creek-hex-20-line-powerlounger-longback-chair~p~4pccj/?filterString=newproducts~14%2Factivities~d~14342%2F
3YYPH,Mammut Aenergy ST 32 L Backpack - Highway-Black,Mammut,Backpacks/Backpacks & Daypacks/Travel Backpacks,3YYPH-01,99.99,99.99,99.99,33,40,40,https://www.sierra.com/mammut-aenergy-st-32-l-backpack-highway-black~p~3yyph/?filterString=newproducts~14%2Factivities~d~14342%2F
5AUGJ,Osprey Ultralight 30 L Dry Sack - Waterproof,Osprey,Health & Safety,5AUGJ-01,12.99,12.99,12.99,48,244,244,https://www.sierra.com/osprey-ultralight-30-l-dry-sack-waterproof~p~5augj/?filterString=newproducts~14%2Factivities~d~14342%2F
4XUAK,Coleman Folding Deck Chair with Side Table,Coleman,Camp Furniture,4XUAK-01,39.99,39.99,39.99,43,108,108,https://www.sierra.com/coleman-folding-deck-chair-with-side-table~p~4xuak/?filterString=newproducts~14%2Factivities~d~14342%2F
3VHCG,"CamelBak Mini M.U.L.E. 1.5 L Hydration Backpack - 50 oz. Reservoir, Turquoise-Turtle (For Boys and Girls)",CamelBak,Backpacks/Hydration Packs/Hydration Packs,3VHCG-01,29.99,29.99,29.99,25,127,127,https://www.sierra.com/camelbak-mini-mule-15-l-hydration-backpack-50-oz-reservoir-turquoise-turtle-for-boys-and-girls~p~3vhcg/?filterString=newproducts~14%2Factivities~d~14342%2F
3RYRU,Dynafit Transalper Hiking Shoes (For Women),Dynafit,Men's & Women's Hiking Shoes/Women's Hiking Shoes,3RYRU-01-7.5-M,59.99,59.99,59.99,45,128,14,https://www.sierra.com/dynafit-transalper-hiking-shoes-for-women~p~3ryru/?filterString=newproducts~14%2Factivities~d~14342%2F
3TURF,"CamelBak Hydrobak Light 1.5 L Hydration Pack - 50 oz. Reservoir, Aluminum-Black",CamelBak,Backpacks/Hydration Packs/Hydration Packs,3TURF-01,29.99,29.99,29.99,33,150,150,https://www.sierra.com/camelbak-hydrobak-light-15-l-hydration-pack-50-oz-reservoir-aluminum-black~p~3turf/?filterString=newproducts~14%2Factivities~d~14342%2F
4GKMU,TRAKK Dome Shiatsu Deep Tissue Compression Foot Massager with Heat,TRAKK,Recovery Essentials,4GKMU-02,49.99,49.99,49.99,44,71,71,https://www.sierra.com/trakk-dome-shiatsu-deep-tissue-compression-foot-massager-with-heat~p~4gkmu/?filterString=newproducts~14%2Factivities~d~14342%2F
3RYRW,Dynafit Ultra 50 Gore-Tex® Hiking Shoes - Waterproof (For Women),Dynafit,Men's & Women's Hiking Shoes/Women's Hiking Shoes,3RYRW-01-7.5-M,59.99,59.99,59.99,45,176,22,https://www.sierra.com/dynafit-ultra-50-gore-tex-hiking-shoes-waterproof-for-women~p~3ryrw/?filterString=newproducts~14%2Factivities~d~14342%2F
