id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url,techs
4CJJW,DaKine Pickup Pad - Black,DaKine,Bike Accessories,4CJJW-01-S,79.99,79.99,79.99,46,71,71,https://www.sierra.com/dakine-pickup-pad-black~p~4cjjw/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Material': ' Recycled polyester, polyethylene foam'}"
4YMXA,Montana Fly Company Finfetcher Caddis Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YMXA-01-16,14.99,14.99,14.99,58,22,22,https://www.sierra.com/montana-fly-company-finfetcher-caddis-dry-fly-dozen~p~4ymxa/?filterString=newproducts~14%2Factivities~d~14342%2F,{'Material': ' Natural and synthetic materials with wire fly hooks'}
5AUFY,"Osprey Duro 6 L Hydration Running Vest - 51 oz. Reservoir, Blue Sky",Osprey,Backpacks/Hydration Packs/Hydration Packs,5AUFY-01,59.99,59.99,59.99,45,18,18,https://www.sierra.com/osprey-duro-6-l-hydration-running-vest-51-oz-reservoir-blue-sky~p~5aufy/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Pack material': ' Recycled nylon', 'Dimensions': ' 16.93x15.55x5.12""', 'Pack capacity': ' 366 cu.in.', 'Volume liters': ' 6', 'Weight': ' 15 oz.'}"
5AUGC,"Osprey Duro 6 L Hydration Running Vest - 51 oz. Reservoir, Blue Sky",Osprey,Backpacks/Hydration Packs/Hydration Packs,5AUGC-01,59.99,59.99,59.99,45,18,18,https://www.sierra.com/osprey-duro-6-l-hydration-running-vest-51-oz-reservoir-blue-sky~p~5augc/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Pack material': ' Recycled nylon', 'Dimensions': ' 16.93x13.58x5.12""', 'Pack capacity': ' 366 cu.in.', 'Volume liters': ' 6', 'Weight': ' 15 oz.'}"
4UDNV,Royce Union RTT 21-Speed Mountain Bike - 26” (For Men),Royce Union,Bikes,4UDNV-01,149.99,149.99,149.99,57,4,4,https://www.sierra.com/royce-union-rtt-21-speed-mountain-bike-26-for-men~p~4udnv/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Material': ' Aluminum frame', 'Dimensions': ' 26"" wheels', 'Gender': ' Men'}"
1AJXP,Lamson Remix -5+ Fly Reel,Lamson,Fly Fishing Reels,1AJXP-01,119.99,119.99,119.99,36,135,135,https://www.sierra.com/lamson-remix-5-plus--fly-reel~p~1ajxp/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Arbor size': ' Large', 'Drag type': ' Conical', 'Line capacity': ' 100 yds.', 'Diameter': ' 3.61""', 'Width': ' 1.00""', 'Material': ' Machined 6061 aluminum'}"
2FXJJ,Lamson Remix -5+ Freshwater Fly Reel,Lamson,Fly Fishing Reels,2FXJJ-01,149.99,149.99,149.99,34,24,24,https://www.sierra.com/lamson-remix-5-plus--freshwater-fly-reel~p~2fxjj/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Line weight': ' 4, 5, 6', 'Arbor size': ' Large', 'Drag type': ' Conical', 'Line capacity': ' 100 yds.', 'Retrieve': ' Left or Right', 'Diameter': ' 3.61""', 'Width': ' 1""', 'Material': ' Machined 6061 aluminum'}"
5AUFW,"Osprey Duro 6 L Hydration Running Vest - 51 oz. Reservoir, Blue Sky",Osprey,Backpacks/Hydration Packs/Hydration Packs,5AUFW-01,59.99,59.99,59.99,45,18,18,https://www.sierra.com/osprey-duro-6-l-hydration-running-vest-51-oz-reservoir-blue-sky~p~5aufw/?filterString=newproducts~14%2Factivities~d~14342%2F,"{'Pack material': ' Recycled nylon', 'Dimensions': ' 16.93x11.61x5.12""', 'Pack capacity': ' 366 cu.in.', 'Volume liters': ' 6', 'Weight': ' 14 oz.'}"
4YMXP,Montana Fly Company Cook’s Cicada Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YMXP-01-4,14.99,14.99,14.99,58,41,26,https://www.sierra.com/montana-fly-company-cooks-cicada-dry-fly-dozen~p~4ymxp/?filterString=newproducts~14%2Factivities~d~14342%2F,{'Material': ' Natural and synthetic materials with wire fly hooks'}
4YMKN,Montana Fly Company Wookie Hopper Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YMKN-03-8,14.99,14.99,14.99,58,6,3,https://www.sierra.com/montana-fly-company-wookie-hopper-dry-fly-dozen~p~4ymkn/?filterString=newproducts~14%2Factivities~d~14342%2F,{'Material': ' Natural and synthetic materials with wire fly hooks'}
